Complexity,Loss,Equation
1,0.5669585561392798,"-0.018729656585912857"
3,0.2187143666100462,"x1 * -1.1505862643426379"
5,0.13253985591037373,"(x2 * x2) * -0.11168670480290484"
7,0.034891749125628105,"(x1 + (x2 * -0.2038872402146312)) * -0.884311119072212"
11,0.0006517098597898052,"((x1 + (x1 * -0.051949671992295415)) + (x2 * -0.2109099558110688)) * -0.9539419289883628"
15,0.000651513126836785,"((x1 + ((x1 + (x1 * 0.06531050183787325)) * 0.10776902151956938)) + (x2 * -0.2480061438224909)) * -0.811253308434655"
