Complexity,Loss,Equation
1,0.5669592828020547,"-0.01805104470888007"
3,0.21871437339872773,"x1 * -1.1505845428716668"
5,0.13254117497874388,"(x2 * x2) * -0.11164493390484673"
7,0.000658973732403593,"(x2 * 0.20116059449024065) + (x1 * -0.9043604785405618)"
9,0.0006526353837631293,"(((x2 * -0.4450347228360398) + x1) + x1) * -0.4521703895060582"
11,0.0006523581017838944,"(x1 + (((x2 + x1) * -0.36393735061178534) + x1)) * -0.5527879376635527"
15,0.0006517415836801905,"((((x1 + x1) + x1) + (x2 * -0.3741738772833304)) + (x2 * -0.29314307920715504)) * -0.3014734516348743"
17,0.0002215029898436843,"((x1 + ((x2 * -0.4453801316683217) + x3)) + (x1 + ((x3 + x3) * -0.49911338155512996))) * -0.4521123053877825"
