Complexity,Loss,Equation
1,0.5669585642820565,"-0.018713362890314788"
3,0.21871505132418104,"x1 * -1.15081994550609"
5,0.13254507152878714,"(x2 * x2) * -0.11160399798152514"
7,0.0006614729189260086,"(x1 + (x2 * -0.2225112496884983)) * -0.9044338381432457"
9,0.0006262526829457792,"(((x2 + -0.0012189883565719508) * -0.2225436543230154) + x1) * -0.9042871685468232"
11,0.0001236848975594334,"(x1 + (((x3 * -0.0049655810788325865) + x2) * -0.22276399709427852)) * -0.9040716783840189"
15,0.00012355568223822467,"(x1 + (((x3 * -0.0049655810788325865) + (x2 + (x3 * -1.3554835583954216e-5))) * -0.22276399709427852)) * -0.9040716783840189"
17,0.00012343650803535794,"(x1 + (((x3 * -0.0049655810788325865) + (x2 + ((x3 + x1) * -1.3554835583954216e-5))) * -0.22276399709427852)) * -0.9040716783840189"
19,0.00012338513004407005,"(x1 + (-0.22276399709427852 * (((x3 * -0.0049655810788325865) + x2) + ((x3 + (x3 + x1)) * -1.3554835583954216e-5)))) * -0.9040716783840189"
