Complexity,Loss,Equation
1,0.5669586649680837,"-0.018865209353002454"
3,0.2187143769458063,"x1 * -1.1505897917598025"
5,0.13254500408763278,"(x2 * x2) * -0.11177005928641293"
7,0.0006523204600330932,"(x1 * -0.904439458012131) + (x2 * 0.20116367590109122)"
9,0.0006331934160447209,"((x2 * 0.20116625750707604) + -0.00024472954255812506) + (x1 * -0.9044528875975808)"
11,0.0006235883494078612,"(x2 * 0.20121023638889005) + (((x1 * 3.160737676508248e-5) + -0.9045653593594625) * x1)"
17,0.00048159125668683885,"(x1 * -0.9044079707333421) + ((x2 + ((((x3 + -0.5836850136536249) * -0.04912073918401281) + -0.0098805502926216) * 0.040460614932230986)) * 0.20114824118602426)"
25,0.00040651370408491727,"(-0.9044079707333421 * x1) + (0.20114824118602426 * ((0.20114824118602426 * (((0.20114824118602426 * (-0.23133169871162923 * 0.20114824118602426)) + (0.20114824118602426 * (0.20114824118602426 + -0.24420168376508633))) * (x3 * 0.6777961368142605))) + x2))"
